Forecast Date,Vintage Date,Vintage,Station ID,Max Temp,Min Temp,Max Wet Bulb,Min Wet Bulb,                                                                                                              
09/25/2019,09/26/2019,Forecast,ELM,70,52,61,49                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,ELZ,63,51,57,47                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,FOK,75,58,68,58                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,FRG,76,62,68,60                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,GFL,67,51,61,50                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,HPN,76,60,65,56                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,IAG,68,56,62,51                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,ISP,76,62,68,60                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,ITH,67,52,60,49                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,JFK,77,64,68,60                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,LGA,79,66,67,60                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,MSS,65,53,60,51                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,MSV,68,52,61,50                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,NYC,79,64,66,59                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,PLB,65,54,60,51                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,POU,75,55,64,53                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,ROC,69,56,60,51                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,SLK,60,45,57,45                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,SWF,75,57,64,54                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,SYR,68,57,61,53                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,UCA,65,53,61,51                                                                                                                                                          
