"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWH"
"03/09/2015 11:00","H Q",61844,30.62,-0.75,0.00
"03/09/2015 11:00","HUD VL",61758,61.79,2.88,-27.53
"03/09/2015 11:00","LONGIL",61762,63.17,3.54,-28.25
"03/09/2015 11:00","MHK VL",61756,37.15,1.07,-4.71
"03/09/2015 11:00","MILLWD",61759,62.93,3.20,-28.35
"03/09/2015 11:00","N.Y.C.",61761,62.91,3.29,-28.24
"03/09/2015 11:00","NORTH",61755,30.62,-0.75,0.00
"03/09/2015 11:00","NPX",61845,67.01,2.57,-33.06
"03/09/2015 11:00","O H",61846,33.67,-3.01,-5.31
"03/09/2015 11:00","PJM",61847,50.30,0.44,-18.49
"03/09/2015 11:00","WEST",61752,34.22,-2.32,-5.17
"03/09/2015 12:00","CAPITL",61757,62.75,2.23,-28.60
"03/09/2015 12:00","CENTRL",61754,35.39,-0.26,-3.74
"03/09/2015 12:00","DUNWOD",61760,56.93,3.19,-21.83
"03/09/2015 12:00","GENESE",61753,33.61,-1.34,-3.04
"03/09/2015 12:00","H Q",61844,31.14,-0.77,0.00
"03/09/2015 12:00","HUD VL",61758,56.16,2.97,-21.28
"03/09/2015 12:00","LONGIL",61762,57.64,3.89,-21.84
"03/09/2015 12:00","MHK VL",61756,36.57,1.02,-3.64
"03/09/2015 12:00","MILLWD",61759,57.05,3.22,-21.92
"03/09/2015 12:00","N.Y.C.",61761,57.13,3.38,-21.84
"03/09/2015 12:00","NORTH",61755,31.14,-0.77,0.00
"03/09/2015 12:00","NPX",61845,60.09,2.62,-25.56
"03/09/2015 12:00","O H",61846,32.95,-3.06,-4.10
"03/09/2015 12:00","PJM",61847,46.65,0.45,-14.29
"03/09/2015 12:00","WEST",61752,33.51,-2.39,-4.00
"03/09/2015 13:00","CAPITL",61757,57.31,2.12,-24.85
"03/09/2015 13:00","CENTRL",61754,33.34,-0.24,-3.25
"03/09/2015 13:00","DUNWOD",61760,52.33,3.03,-18.97
"03/09/2015 13:00","GENESE",61753,31.76,-1.21,-2.64
"03/09/2015 13:00","H Q",61844,29.61,-0.73,0.00
"03/09/2015 13:00","HUD VL",61758,51.62,2.79,-18.49
"03/09/2015 13:00","LONGIL",61762,52.92,3.61,-18.98
"03/09/2015 13:00","MHK VL",61756,34.44,0.94,-3.16
"03/09/2015 13:00","MILLWD",61759,52.44,3.06,-19.04
"03/09/2015 13:00","N.Y.C.",61761,52.52,3.21,-18.97
"03/09/2015 13:00","NORTH",61755,29.58,-0.76,0.00
"03/09/2015 13:00","NPX",61845,55.03,2.49,-22.21
"03/09/2015 13:00","O H",61846,31.02,-2.88,-3.57
"03/09/2015 13:00","PJM",61847,43.21,0.46,-12.42
"03/09/2015 13:00","WEST",61752,31.56,-2.24,-3.47
"03/09/2015 14:00","CAPITL",61757,54.61,2.05,-23.32
"03/09/2015 14:00","CENTRL",61754,32.06,-0.23,-3.05
"03/09/2015 14:00","DUNWOD",61760,49.97,2.92,-17.80
"03/09/2015 14:00","GENESE",61753,30.58,-1.14,-2.48
"03/09/2015 14:00","H Q",61844,28.54,-0.70,0.00
"03/09/2015 14:00","HUD VL",61758,49.28,2.69,-17.35
"03/09/2015 14:00","LONGIL",61762,50.53,3.48,-17.81
"03/09/2015 14:00","MHK VL",61756,33.06,0.85,-2.97
"03/09/2015 14:00","MILLWD",61759,50.07,2.95,-17.87
"03/09/2015 14:00","N.Y.C.",61761,50.18,3.13,-17.80
"03/09/2015 14:00","NORTH",61755,28.48,-0.76,0.00
"03/09/2015 14:00","NPX",61845,52.51,2.43,-20.84
"03/09/2015 14:00","O H",61846,29.99,-2.60,-3.35
"03/09/2015 14:00","PJM",61847,41.39,0.50,-11.65
"03/09/2015 14:00","WEST",61752,30.54,-1.96,-3.26
"03/09/2015 15:00","CAPITL",61757,53.81,1.99,-22.62
"03/09/2015 15:00","CENTRL",61754,31.87,-0.29,-2.96
"03/09/2015 15:00","DUNWOD",61760,49.41,2.95,-17.26
"03/09/2015 15:00","GENESE",61753,30.41,-1.20,-2.41
"03/09/2015 15:00","H Q",61844,28.50,-0.70,0.00
"03/09/2015 15:00","HUD VL",61758,48.75,2.72,-16.83
"03/09/2015 15:00","LONGIL",61762,50.04,3.56,-17.27
"03/09/2015 15:00","MHK VL",61756,32.93,0.85,-2.88
"03/09/2015 15:00","MILLWD",61759,49.52,2.98,-17.33
"03/09/2015 15:00","N.Y.C.",61761,49.63,3.15,-17.27
"03/09/2015 15:00","NORTH",61755,28.41,-0.79,0.00
"03/09/2015 15:00","NPX",61845,51.84,2.42,-20.22
"03/09/2015 15:00","O H",61846,29.79,-2.66,-3.25
"03/09/2015 15:00","PJM",61847,40.97,0.47,-11.31
"03/09/2015 15:00","WEST",61752,30.32,-2.04,-3.16
"03/09/2015 16:00","CAPITL",61757,56.22,1.99,-25.40
"03/09/2015 16:00","CENTRL",61754,31.96,-0.20,-3.32
"03/09/2015 16:00","DUNWOD",61760,51.13,2.91,-19.38
"03/09/2015 16:00","GENESE",61753,30.47,-1.07,-2.70
"03/09/2015 16:00","H Q",61844,28.12,-0.72,0.00
"03/09/2015 16:00","HUD VL",61758,50.44,2.71,-18.90
"03/09/2015 16:00","LONGIL",61762,51.78,3.55,-19.39
"03/09/2015 16:00","MHK VL",61756,32.99,0.92,-3.23
