"Time Stamp","Time Zone","Name","PTID","Load"
"09/27/2021 01:05:00","EDT","WEST",61752,1251.0228
"09/27/2021 01:10:00","EDT","CAPITL",61757,995.6344
"09/27/2021 01:10:00","EDT","CENTRL",61754,1398.9443
"09/27/2021 01:10:00","EDT","DUNWOD",61760,516.463
"09/27/2021 01:10:00","EDT","GENESE",61753,845.8398
"09/27/2021 01:10:00","EDT","HUD VL",61758,763.9775
"09/27/2021 01:10:00","EDT","LONGIL",61762,1700.3801
"09/27/2021 01:10:00","EDT","MHK VL",61756,629.2686
"09/27/2021 01:10:00","EDT","MILLWD",61759,217.033
"09/27/2021 01:10:00","EDT","N.Y.C.",61761,4399.2637
"09/27/2021 01:10:00","EDT","NORTH",61755,518.6549
"09/27/2021 01:10:00","EDT","WEST",61752,1265.3005
"09/27/2021 01:15:00","EDT","CAPITL",61757,997.3238
"09/27/2021 01:15:00","EDT","CENTRL",61754,1386.0806
"09/27/2021 01:15:00","EDT","DUNWOD",61760,508.513
"09/27/2021 01:15:00","EDT","GENESE",61753,841.7933
"09/27/2021 01:15:00","EDT","HUD VL",61758,749.9727
"09/27/2021 01:15:00","EDT","LONGIL",61762,1696.1254
"09/27/2021 01:15:00","EDT","MHK VL",61756,628.8373
"09/27/2021 01:15:00","EDT","MILLWD",61759,214.4505
"09/27/2021 01:15:00","EDT","N.Y.C.",61761,4380.056
"09/27/2021 01:15:00","EDT","NORTH",61755,526.6274
"09/27/2021 01:15:00","EDT","WEST",61752,1234.6787
"09/27/2021 01:20:00","EDT","CAPITL",61757,984.1964
"09/27/2021 01:20:00","EDT","CENTRL",61754,1376.974
"09/27/2021 01:20:00","EDT","DUNWOD",61760,510.7376
"09/27/2021 01:20:00","EDT","GENESE",61753,845.0089
"09/27/2021 01:20:00","EDT","HUD VL",61758,760.1793
"09/27/2021 01:20:00","EDT","LONGIL",61762,1687.7739
"09/27/2021 01:20:00","EDT","MHK VL",61756,622.9781
"09/27/2021 01:20:00","EDT","MILLWD",61759,207.3927
"09/27/2021 01:20:00","EDT","N.Y.C.",61761,4371.8047
"09/27/2021 01:20:00","EDT","NORTH",61755,534.6594
"09/27/2021 01:20:00","EDT","WEST",61752,1266.0895
"09/27/2021 01:25:00","EDT","CAPITL",61757,980.8879
